LandUse,No_bee_value,Woodland_coniferous,Woodland_decidious,Urban,Crop_nonflowering,Grassland_improved,Grassland_seminatural,Crop_osr_autumn,Crop_osr_spring,Crop_sunflower,Crop_beans,Crop_potato,Crop_clover,Crop_salix,Crop_berry,Crop_fruits,Garden,Crop_flax
Other open land with vegetation,,,,,,,1,,,,,,,,,,,
"Developed land, building",,,,1,,,,,,,,,,,,,,
"Developed land, not road or building",1,,,,,,,,,,,,,,,,,
"Developed land, road",1,,,,,,,,,,,,,,,,,
Lake and watercourses,1,,,,,,,,,,,,,,,,,
Marine environment,1,,,,,,,,,,,,,,,,,
Pine forest not on wetland,,1,,,,,,,,,,,,,,,,
Spruce forest not on wetland,,1,,,,,,,,,,,,,,,,
Mixed coniferous not on wetland,,1,,,,,,,,,,,,,,,,
Mixed forest not on wetland,,,1,,,,,,,,,,,,,,,
Decidious forest not on wetland,,,1,,,,,,,,,,,,,,,
Decidious hardwood forest not on wetland,,,1,,,,,,,,,,,,,,,
Decidioius forest with deciduous hardwood forest not on wetland,,,1,,,,,,,,,,,,,,,
Temporarily non-forest not on wetland,,,,,,,,,,,,,,,,,,
Pine forest on wetland,,1,,,,,,,,,,,,,,,,
Spruce forest on wetland,,1,,,,,,,,,,,,,,,,
Mixed confiferous on wetland,,1,,,,,,,,,,,,,,,,
Mixed forest on wetland,,,1,,,,,,,,,,,,,,,
Deciduous forest on wetland,,,1,,,,,,,,,,,,,,,
Deciduous hardwood forest on wetland,,,1,,,,,,,,,,,,,,,
Decidious forest with deciduous hardwood forest on wetland,,,1,,,,,,,,,,,,,,,
Temporarily non-forest on wetland,,,,,,,,,,,,,,,,,,
